a_hood,b_hood,a_scale,b_scale
Felix Meritisbuurt,Elandsgrachtbuurt,1,1
Filips van Almondekwartier,John Franklinbuurt,1,1
Flevopark,Zuidoostkwadrant Indische buurt,1,1
Flevopark,Zeeburgereiland Zuidwest,1,1
Flevopark,Science Park Zuid,1,1
Flevopark,Science  Park Noord,1,1
Flevopark,Nieuwe Diep/Diemerpark,1,1
Frankendael,Tuindorp Frankendael,2,2
Frankendael,Middenmeer Zuid,2,2
Frankendael,Linnaeusparkbuurt,2,2
Frankendael,Julianapark,2,2
Frankendael,Don Bosco,2,2
Frankendael,De Eenhoorn,2,2
Frans Halsbuurt,Sarphatiparkbuurt,1,1
Frans Halsbuurt,Gerard Doubuurt,1,1
Frederik Hendrikbuurt Noord,Zaagpoortbuurt,2,2
Frederik Hendrikbuurt Noord,Marnixbuurt Noord,2,2
Frederik Hendrikbuurt Noord,Buyskade e.o.,2,2
Frederik Hendrikbuurt Zuidoost,Marnixbuurt Midden,3,3
Frederik Hendrikbuurt Zuidwest,Markthallen,1,1
Frederik Hendrikbuurt Zuidwest,Marcanti,1,1
Frederik Hendrikbuurt Zuidwest,Bellamybuurt Noord,1,1
Frederikspleinbuurt,Weteringbuurt,1,1
Frederikspleinbuurt,Weesperbuurt,1,1
Frederikspleinbuurt,Utrechtsebuurt Zuid,1,1
Frederikspleinbuurt,Swammerdambuurt,1,1
Frederikspleinbuurt,Sarphatiparkbuurt,1,1
Frederikspleinbuurt,Hemonybuurt,1,1
Frederikspleinbuurt,Gerard Doubuurt,1,1
Gaasperdam Noord,Reigersbos Noord,1,1
Gaasperdam Noord,Reigersbos Midden,1,1
Gaasperdam Noord,L-buurt,1,1
Gaasperdam Noord,Holendrecht Oost,1,1
Gaasperdam Noord,Gein Zuidwest,1,1
Gaasperdam Noord,Gein Noordwest,1,1
Gaasperdam Noord,Gaasperdam Zuid,1,1
Gaasperdam Zuid,Reigersbos Zuid,1,1
Gaasperdam Zuid,Reigersbos Noord,1,1
Gaasperdam Zuid,Reigersbos Midden,1,1
Gaasperdam Zuid,Gein Zuidwest,1,1
Gaasperdam Zuid,Gein Zuidoost,1,1
Gaasperdam Zuid,Gein Noordwest,1,1
Gaasperdam Zuid,Gaasperdam Noord,1,1
Gaasperpark,L-buurt,1,1
Gaasperpark,Landelijk gebied Driemond,1,1
Gaasperpark,K buurt Zuidwest,1,1
Gaasperpark,K-buurt Zuidoost,1,1
Gaasperpark,Kantershof,1,1
Gaasperpark,Gaasperplas,1,1
Gaasperplas,L-buurt,1,1
Gaasperplas,Landelijk gebied Driemond,1,1
Gaasperplas,Gein Noordwest,1,1
Gaasperplas,Gein Noordoost,1,1
Gaasperplas,Gaasperpark,1,1
Gaasperplas,Dorp Driemond,1,1
G-buurt Oost,Kantershof,1,1
G-buurt Oost,Grunder/Koningshoef,1,1
G-buurt Oost,G-buurt West,1,1
G-buurt West,Vogeltjeswei,1,1
G-buurt West,Kortvoort,1,1
G-buurt West,Grunder/Koningshoef,1,1
G-buurt West,G-buurt Oost,1,1
G-buurt West,F-buurt,1,1
